Log,Conc,Rep,Compound,Rab10
0,0,1,MP-1-008,1
-0.5,0.3,1,MP-1-008,0.9511094
0,1,1,MP-1-008,0.9612197
1,10,1,MP-1-008,0.8481506
1.5,30,1,MP-1-008,0.8144643
2,100,1,MP-1-008,0.6942142
2.5,300,1,MP-1-008,0.5511021
3,1000,1,MP-1-008,0.2614267
0,0,2,MP-1-008,1.1431782
-0.5,0.3,2,MP-1-008,0.8668909
0,1,2,MP-1-008,0.9164064
1,10,2,MP-1-008,1.0064713
1.5,30,2,MP-1-008,0.8465027
2,100,2,MP-1-008,0.6485338
2.5,300,2,MP-1-008,0.4038845
3,1000,2,MP-1-008,0.275987
